,age,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,NumberOfTime30-59DaysPastDueNotWorse,prob_class_1,NumberOfTimes90DaysLate
173,79,0,0.0,0,0.02702702702702703,0
174,58,0,2.0,0,0.02702702702702703,0
175,69,0,1.0,0,0.1,0
176,69,0,3.0,0,0.02702702702702703,1
177,75,0,0.0,0,0.02702702702702703,0
178,41,0,0.0,0,0.02702702702702703,0
180,46,0,1.0,0,0.1,0
182,55,0,0.0,0,0.02702702702702703,1
184,51,0,0.0,0,0.02702702702702703,0
185,25,1,0.0,0,0.02702702702702703,0
186,44,2,1.0,0,0.02702702702702703,2
188,56,0,0.0,0,0.1,0
189,55,0,3.0,0,0.02702702702702703,0
190,64,0,0.0,0,0.02702702702702703,0
191,53,2,0.0,5,0.02702702702702703,1
193,55,0,4.0,0,0.1,0
194,80,0,0.0,1,0.1,0
195,38,0,2.0,0,0.02702702702702703,0
196,44,0,3.0,4,0.02702702702702703,0
197,40,0,0.0,0,0.02702702702702703,0
199,69,0,0.0,0,0.02702702702702703,0
200,64,0,0.0,0,0.1,0
201,61,0,2.0,0,0.02702702702702703,0
202,46,0,4.0,0,0.1,0
203,49,0,0.0,0,0.1,0
204,64,0,0.0,0,0.5555555555555556,0
205,40,0,2.0,0,0.02702702702702703,0
206,27,0,0.0,0,0.02702702702702703,0
208,92,0,0.0,1,0.02702702702702703,0
209,50,0,0.0,0,0.1,0
211,66,0,0.0,1,0.02702702702702703,1
212,53,0,2.0,0,0.02702702702702703,0
213,62,0,0.0,0,0.02702702702702703,0
216,61,0,0.0,0,0.02702702702702703,0
217,42,0,2.0,0,0.1,0
218,63,0,0.0,0,0.02702702702702703,0
219,73,0,0.0,1,0.1,0
220,72,0,0.0,0,0.1,0
221,52,1,0.0,3,0.02702702702702703,0
222,45,0,2.0,0,0.1,0
223,44,0,0.0,0,0.02702702702702703,0
224,63,0,0.0,1,0.02702702702702703,0
225,37,0,0.0,0,0.1,0
226,38,0,2.0,0,0.1,0
227,36,0,1.0,0,0.1,0
228,41,0,2.0,0,0.02702702702702703,0
229,63,0,0.0,1,0.02702702702702703,0
230,76,0,0.0,0,0.02702702702702703,0
231,43,0,0.0,0,0.1,0
232,64,0,0.0,0,0.1,0
233,67,0,0.0,0,0.1,0
234,52,0,1.0,0,0.1,0
236,55,0,0.0,0,0.02702702702702703,0
237,42,0,2.0,0,0.1,0
239,47,0,1.0,0,0.1,0
240,61,1,1.0,1,0.02702702702702703,0
241,73,0,0.0,0,0.1,0
243,68,0,0.0,0,0.02702702702702703,0
244,41,0,0.0,0,0.1,0
245,44,0,0.0,2,0.65,0
246,42,0,4.0,0,0.02702702702702703,0
247,40,0,2.0,0,0.1,0
248,78,0,0.0,0,0.02702702702702703,0
249,81,0,0.0,0,0.1,0
250,49,0,0.0,0,0.02702702702702703,0
251,58,0,0.0,7,0.1,0
252,54,0,2.0,0,0.1,0
253,33,0,0.0,1,0.02702702702702703,0
254,53,0,5.0,0,0.2857142857142857,0
255,23,0,0.0,0,0.1,0
256,49,0,1.0,1,0.02702702702702703,0
257,44,0,2.0,0,0.02702702702702703,0
258,63,0,0.0,0,0.1,0
260,65,0,1.0,0,0.1,0
262,28,0,0.0,0,0.43333333333333335,0
264,66,0,0.0,0,0.1,0
265,32,0,2.0,0,0.45121951219512196,0
266,43,0,1.0,1,0.1,0
267,59,0,1.0,0,0.02702702702702703,0
268,76,0,0.0,0,0.2857142857142857,0
269,68,0,0.0,0,0.02702702702702703,0
270,61,0,0.0,0,0.1,0
271,68,0,1.0,0,0.1,0
272,57,0,1.0,0,0.1,0
273,68,0,2.0,0,0.02702702702702703,0
274,57,0,3.0,0,0.02702702702702703,0
275,46,0,0.0,1,0.1,0
276,69,0,0.0,0,0.1,0
277,44,0,1.0,0,0.65,0
278,28,0,0.0,0,0.02702702702702703,0
279,53,0,1.0,1,0.02702702702702703,0
280,40,0,0.0,0,0.02702702702702703,0
281,36,0,1.0,1,0.1,0
282,42,0,1.0,0,0.1,0
283,64,0,0.0,0,0.02702702702702703,0
285,62,0,1.0,0,0.1,0
286,47,1,0.0,0,0.02702702702702703,2
287,62,0,0.0,0,0.1,0
288,49,0,3.0,0,0.02702702702702703,0
289,66,0,0.0,0,0.1,0
290,54,0,2.0,0,0.1,0
292,83,0,0.0,0,0.02702702702702703,0
293,45,0,2.0,0,0.02702702702702703,0
294,29,0,3.0,0,0.1,0
295,67,0,0.0,0,0.1,0
296,29,1,0.0,1,0.1,0
297,46,0,4.0,1,0.1,0
298,25,0,0.0,0,0.02702702702702703,0
299,68,0,0.0,0,0.1,0
300,33,0,1.0,0,0.1,0
301,55,0,0.0,1,0.02702702702702703,0
302,46,0,3.0,0,0.1,0
303,66,0,1.0,0,0.02702702702702703,0
304,66,0,0.0,0,0.65,1
305,48,0,0.0,0,0.1,0
306,52,0,4.0,0,0.02702702702702703,0
307,32,0,0.0,1,0.02702702702702703,1
308,51,0,2.0,0,0.02702702702702703,0
309,27,0,0.0,0,0.1,0
310,32,1,0.0,2,0.1,0
311,30,0,0.0,0,0.1,0
312,37,0,3.0,0,0.02702702702702703,0
313,49,0,1.0,0,0.1,0
314,37,0,5.0,0,0.5555555555555556,0
315,36,0,0.0,1,0.02702702702702703,0
316,62,0,0.0,1,0.1,0
317,57,0,1.0,0,0.1,0
318,59,0,1.0,0,0.02702702702702703,0
319,38,1,4.0,2,0.02702702702702703,1
322,37,0,0.0,0,0.1,0
323,63,0,0.0,0,0.1,0
324,32,0,0.0,0,0.1,0
325,52,0,1.0,0,0.02702702702702703,0
326,43,0,2.0,0,0.1,0
327,29,0,0.0,1,0.02702702702702703,0
328,45,0,2.0,1,0.02702702702702703,0
329,38,0,1.0,0,0.02702702702702703,0
330,62,0,0.0,0,0.02702702702702703,0
332,41,0,2.0,0,0.1,0
333,29,0,0.0,0,0.1,0
334,47,0,3.0,0,0.1,0
335,55,0,1.0,1,0.02702702702702703,0
336,87,0,0.0,0,0.65,0
337,41,0,0.0,0,0.02702702702702703,0
338,61,0,0.0,0,0.1,0
339,28,0,1.0,0,0.02702702702702703,0
340,43,0,4.0,0,0.45121951219512196,0
341,71,0,1.0,0,0.02702702702702703,0
342,46,0,2.0,0,0.1,0
343,30,0,0.0,0,0.1,0
344,43,0,1.0,0,0.02702702702702703,0
345,59,0,1.0,0,0.02702702702702703,0
348,72,0,0.0,0,0.1,0
349,50,0,1.0,0,0.1,0
350,68,0,0.0,1,0.02702702702702703,0
352,69,2,0.0,2,0.1,2
355,37,0,1.0,0,0.02702702702702703,0
357,38,0,0.0,0,0.65,0
359,59,0,0.0,0,0.02702702702702703,0
360,67,0,0.0,0,0.02702702702702703,0
361,30,0,2.0,0,0.02702702702702703,0
362,56,0,1.0,0,0.1,0
363,51,0,2.0,0,0.02702702702702703,0
365,28,0,0.0,0,0.1,0
366,54,0,2.0,0,0.02702702702702703,0
369,35,1,3.0,2,0.02702702702702703,0
370,79,0,0.0,0,0.1,0
371,46,0,3.0,0,0.02702702702702703,0
373,64,0,1.0,0,0.02702702702702703,0
374,74,0,0.0,0,0.02702702702702703,0
375,64,0,0.0,0,0.02702702702702703,0
376,63,0,0.0,0,0.1,0
377,63,0,1.0,1,0.45121951219512196,0
378,54,0,1.0,0,0.1,0
379,63,0,3.0,0,0.1,0
380,45,0,3.0,0,0.02702702702702703,0
383,57,0,0.0,0,0.02702702702702703,0
384,43,0,1.0,0,0.02702702702702703,0
385,61,0,0.0,0,0.02702702702702703,0
388,60,0,0.0,0,0.1,0
389,34,0,0.0,2,0.45121951219512196,0
391,60,0,0.0,0,0.1,0
392,76,0,0.0,0,0.1,0
393,76,0,2.0,0,0.02702702702702703,0
394,39,0,2.0,0,0.02702702702702703,0
396,63,0,1.0,0,0.02702702702702703,0
397,52,0,0.0,0,0.02702702702702703,0
399,42,1,2.0,1,0.02702702702702703,3
400,63,0,0.0,0,0.02702702702702703,0
401,58,0,2.0,0,0.45121951219512196,0
402,62,0,0.0,0,0.1,0
403,46,0,2.0,1,0.02702702702702703,1
404,27,0,0.0,0,0.43333333333333335,0
405,27,0,1.0,0,0.43333333333333335,0
406,35,0,3.0,1,0.1,0
407,55,0,0.0,0,0.02702702702702703,0
408,73,0,0.0,0,0.02702702702702703,0
409,51,0,0.0,0,0.02702702702702703,0
410,36,0,2.0,0,0.02702702702702703,0
411,56,0,1.0,0,0.1,0
414,64,0,1.0,0,0.02702702702702703,0
415,56,0,0.0,0,0.1,0
416,37,0,0.0,0,0.65,0
417,48,0,1.0,0,0.02702702702702703,0
418,36,0,0.0,0,0.1,0
420,49,0,2.0,2,0.02702702702702703,0
421,57,0,0.0,0,0.02702702702702703,0
422,39,0,1.0,0,0.45121951219512196,0
423,61,5,1.0,10,0.02702702702702703,2
424,38,0,2.0,0,0.2857142857142857,0
425,24,0,0.0,0,0.02702702702702703,0
427,73,0,0.0,0,0.02702702702702703,0
428,79,0,0.0,0,0.1,0
429,81,0,1.0,0,0.3333333333333333,0
430,55,0,0.0,0,0.1,0
431,57,0,2.0,0,0.1,1
432,58,0,1.0,0,0.02702702702702703,0
433,52,0,0.0,0,0.45121951219512196,0
434,51,0,2.0,0,0.02702702702702703,0
435,63,0,0.0,0,0.1,1
438,41,0,0.0,0,0.02702702702702703,0
439,43,0,2.0,1,0.02702702702702703,0
442,40,0,0.0,0,0.1,0
443,74,0,0.0,0,0.1,0
444,49,0,0.0,0,0.02702702702702703,0
445,68,0,0.0,0,0.02702702702702703,0
446,57,0,0.0,0,0.1,0
447,48,0,6.0,0,0.1,0
448,40,0,2.0,1,0.1,2
449,23,0,1.0,0,0.02702702702702703,0
450,52,0,2.0,0,0.02702702702702703,0
452,55,0,0.0,0,0.1,0
453,61,1,0.0,3,0.1,0
454,33,0,0.0,0,0.1,0
455,69,0,0.0,0,0.1,0
456,39,0,0.0,0,0.1,0
457,84,0,0.0,0,0.02702702702702703,0
458,32,0,0.0,2,0.1,0
460,61,0,2.0,0,0.02702702702702703,0
461,37,0,3.0,0,0.02702702702702703,0
462,33,0,1.0,1,0.02702702702702703,2
463,81,0,0.0,0,0.02702702702702703,0
464,60,0,2.0,0,0.5555555555555556,0
465,46,0,3.0,0,0.1,0
466,57,0,0.0,0,0.1,0
467,57,0,0.0,0,0.02702702702702703,0
468,32,0,3.0,0,0.1,0
469,42,0,0.0,0,0.1,0
470,38,0,0.0,1,0.1,0
471,82,0,0.0,0,0.1,0
472,33,0,0.0,0,0.02702702702702703,0
473,68,0,0.0,0,0.02702702702702703,0
474,52,0,2.0,1,0.02702702702702703,1
475,46,0,1.0,0,0.02702702702702703,0
477,57,0,0.0,0,0.1,0
478,50,0,0.0,0,0.02702702702702703,3
479,34,0,0.0,0,0.02702702702702703,1
480,53,0,3.0,4,0.65,0
481,76,0,0.0,0,0.02702702702702703,0
482,64,0,0.0,0,0.02702702702702703,0
483,72,0,0.0,0,0.02702702702702703,0
484,48,0,0.0,0,0.02702702702702703,0
485,71,0,1.0,1,0.1,0
487,53,0,1.0,0,0.1,0
489,51,0,0.0,1,0.02702702702702703,0
490,55,0,0.0,0,0.02702702702702703,0
491,46,0,3.0,0,0.1,0
492,27,1,0.0,2,0.1,2
493,43,0,0.0,0,0.1,0
494,75,0,1.0,0,0.02702702702702703,0
495,31,0,1.0,0,0.02702702702702703,0
496,43,0,0.0,0,0.1,0
497,51,0,0.0,0,0.1,0
498,28,0,0.0,1,0.02702702702702703,1
499,51,0,0.0,0,0.1,0
500,55,2,0.0,1,0.02702702702702703,0
501,69,0,0.0,0,0.02702702702702703,0
502,42,0,3.0,0,0.1,0
503,33,0,0.0,0,0.3333333333333333,0
504,60,0,1.0,0,0.02702702702702703,0
505,54,1,0.0,0,0.1,0
506,48,0,3.0,0,0.1,0
507,49,0,1.0,0,0.1,0
508,73,0,0.0,0,0.02702702702702703,0
510,66,0,0.0,1,0.4166666666666667,1
511,49,0,0.0,1,0.1,0
512,46,0,1.0,0,0.1,0
513,37,0,1.0,2,0.02702702702702703,0
515,22,0,0.0,0,0.02702702702702703,0
516,31,0,0.0,0,0.65,0
517,39,0,0.0,0,0.02702702702702703,0
519,44,0,1.0,0,0.1,0
520,50,1,1.0,1,0.02702702702702703,0
521,55,0,2.0,0,0.1,0
522,52,0,3.0,0,0.1,0
523,58,0,0.0,2,0.1,0
524,62,0,0.0,0,0.02702702702702703,0
525,42,0,4.0,0,0.02702702702702703,0
527,42,0,1.0,1,0.02702702702702703,0
528,39,0,2.0,0,0.1,0
529,45,0,0.0,0,0.1,0
532,55,0,0.0,1,0.02702702702702703,0
533,58,0,2.0,0,0.1,0
534,35,0,1.0,0,0.02702702702702703,0
536,52,0,1.0,1,0.1,0
537,40,0,1.0,0,0.02702702702702703,0
539,45,0,1.0,2,0.02702702702702703,0
540,27,0,1.0,0,0.02702702702702703,0
542,37,0,0.0,0,0.1,0
543,36,0,2.0,0,0.02702702702702703,0
544,40,0,2.0,0,0.1,0
547,59,0,0.0,0,0.1,0
548,40,0,0.0,0,0.1,0
549,49,0,0.0,0,0.5555555555555556,0
550,66,0,0.0,0,0.02702702702702703,0
551,63,1,4.0,3,0.02702702702702703,0
553,30,0,1.0,0,0.1,0
554,36,0,1.0,0,0.1,0
556,27,0,0.0,0,0.5555555555555556,0
557,44,0,2.0,3,0.02702702702702703,0
559,59,0,1.0,0,0.1,0
560,38,0,3.0,0,0.43333333333333335,0
561,38,0,2.0,0,0.1,0
563,43,0,0.0,0,0.02702702702702703,0
565,75,0,0.0,0,0.02702702702702703,0
566,29,0,0.0,0,0.02702702702702703,0
567,55,0,0.0,0,0.02702702702702703,0
568,60,0,0.0,0,0.1,0
569,37,0,1.0,0,0.1,0
570,69,0,0.0,0,0.1,0
571,48,0,0.0,0,0.02702702702702703,0
572,89,1,0.0,1,0.02702702702702703,3
573,56,0,0.0,2,0.02702702702702703,0
574,75,0,0.0,0,0.1,0
575,55,0,0.0,1,0.1,0
576,63,0,0.0,0,0.02702702702702703,0
578,31,0,1.0,0,0.02702702702702703,0
579,61,0,1.0,0,0.02702702702702703,0
580,46,0,2.0,0,0.1,0
581,40,0,0.0,0,0.02702702702702703,2
582,91,0,0.0,0,0.1,0
584,56,0,0.0,0,0.02702702702702703,0
585,29,0,1.0,3,0.1,0
586,45,0,3.0,0,0.4166666666666667,0
587,49,0,4.0,1,0.02702702702702703,0
589,51,0,0.0,0,0.02702702702702703,0
591,78,0,0.0,0,0.02702702702702703,0
592,36,0,1.0,0,0.1,0
593,54,0,1.0,0,0.02702702702702703,0
594,67,0,0.0,0,0.02702702702702703,0
595,63,0,1.0,0,0.02702702702702703,0
596,61,0,0.0,0,0.02702702702702703,0
597,86,0,0.0,0,0.02702702702702703,0
598,50,0,1.0,0,0.02702702702702703,0
599,51,2,1.0,0,0.02702702702702703,0
600,70,0,0.0,0,0.1,0
601,44,0,3.0,0,0.1,0
602,39,0,1.0,2,0.02702702702702703,0
603,49,0,4.0,0,0.1,0
604,58,0,0.0,0,0.02702702702702703,0
605,39,0,2.0,0,0.1,0
606,33,0,1.0,0,0.02702702702702703,1
607,53,0,1.0,0,0.02702702702702703,0
608,36,0,1.0,0,0.02702702702702703,0
609,62,0,0.0,0,0.02702702702702703,0
610,62,0,0.0,0,0.02702702702702703,0
611,29,0,0.0,1,0.02702702702702703,0
612,44,1,0.0,1,0.1,1
613,32,0,0.0,0,0.02702702702702703,0
614,52,0,1.0,0,0.3333333333333333,0
617,63,0,1.0,0,0.1,0
618,44,0,0.0,0,0.02702702702702703,0
619,54,0,2.0,0,0.02702702702702703,0
620,41,0,1.0,0,0.02702702702702703,0
621,32,0,2.0,1,0.02702702702702703,0
622,87,0,0.0,1,0.02702702702702703,0
623,43,0,0.0,0,0.1,0
624,47,0,3.0,0,0.02702702702702703,0
625,75,0,0.0,0,0.45121951219512196,0
626,64,0,1.0,2,0.02702702702702703,0
627,41,0,2.0,0,0.02702702702702703,0
629,40,0,0.0,0,0.1,0
630,56,0,0.0,0,0.1,0
631,55,0,0.0,0,0.1,0
632,36,0,1.0,0,0.1,0
633,57,0,0.0,0,0.1,0
634,56,0,1.0,0,0.1,0
635,49,0,2.0,0,0.1,0
636,53,0,0.0,0,0.1,0
637,51,0,0.0,0,0.02702702702702703,0
638,64,0,0.0,0,0.1,0
639,28,0,0.0,0,0.45121951219512196,0
642,37,0,3.0,0,0.02702702702702703,0
645,52,0,1.0,0,0.1,0
646,36,0,0.0,0,0.02702702702702703,0
647,51,0,2.0,0,0.02702702702702703,0
648,69,0,0.0,0,0.1,0
649,52,0,2.0,0,0.02702702702702703,0
651,36,0,2.0,0,0.45121951219512196,0
652,49,0,1.0,0,0.1,0
653,51,1,4.0,3,0.02702702702702703,0
654,36,0,0.0,0,0.02702702702702703,0
655,33,0,0.0,0,0.1,0
656,62,0,0.0,0,0.1,0
657,69,0,1.0,0,0.02702702702702703,0
659,49,0,2.0,0,0.43333333333333335,0
661,65,0,0.0,0,0.02702702702702703,0
662,56,1,1.0,1,0.02702702702702703,0
664,57,0,0.0,0,0.1,0
665,48,0,1.0,0,0.02702702702702703,0
666,47,0,2.0,0,0.65,0
667,33,0,0.0,0,0.02702702702702703,2
669,40,0,2.0,0,0.02702702702702703,0
670,40,0,1.0,0,0.02702702702702703,0
671,68,0,0.0,0,0.02702702702702703,0
672,35,2,2.0,4,0.3333333333333333,3
673,65,0,0.0,0,0.02702702702702703,0
674,81,0,0.0,0,0.1,0
675,52,0,0.0,0,0.02702702702702703,0
676,69,0,1.0,0,0.02702702702702703,0
678,40,0,1.0,0,0.1,0
679,35,0,2.0,0,0.1,0
680,80,0,0.0,0,0.02702702702702703,0
682,47,0,0.0,0,0.02702702702702703,0
683,64,0,0.0,0,0.1,0
684,36,0,1.0,2,0.02702702702702703,0
685,49,0,3.0,0,0.4166666666666667,0
686,55,0,0.0,0,0.02702702702702703,0
687,35,0,2.0,0,0.1,0
688,63,0,0.0,0,0.02702702702702703,0
689,64,0,0.0,0,0.1,0
690,64,0,2.0,0,0.02702702702702703,0
691,26,0,0.0,1,0.02702702702702703,0
692,77,0,1.0,0,0.3333333333333333,0
693,32,0,0.0,0,0.3333333333333333,2
694,54,0,0.0,0,0.02702702702702703,0
695,40,0,4.0,0,0.1,0
697,58,0,1.0,0,0.1,1
698,50,0,0.0,3,0.1,0
699,56,0,2.0,0,0.1,0
700,75,0,0.0,0,0.02702702702702703,0
701,36,0,3.0,1,0.1,0
702,33,0,0.0,0,0.02702702702702703,0
703,52,0,2.0,0,0.3333333333333333,0
704,62,0,0.0,0,0.02702702702702703,0
705,60,0,0.0,0,0.1,0
706,52,0,0.0,0,0.02702702702702703,0
707,36,0,0.0,0,0.02702702702702703,0
708,71,0,0.0,2,0.02702702702702703,0
709,83,0,0.0,0,0.1,0
710,76,0,0.0,0,0.1,0
711,40,0,3.0,0,0.02702702702702703,0
712,46,0,3.0,0,0.1,0
715,76,0,0.0,0,0.02702702702702703,0
716,41,0,1.0,1,0.02702702702702703,0
717,60,0,0.0,0,0.02702702702702703,0
718,63,0,1.0,2,0.02702702702702703,0
719,52,0,0.0,0,0.1,0
720,58,0,0.0,0,0.02702702702702703,0
721,56,0,0.0,0,0.1,0
722,33,0,0.0,0,0.02702702702702703,0
723,64,0,0.0,0,0.1,0
724,33,0,0.0,0,0.02702702702702703,0
726,56,0,4.0,0,0.1,0
727,60,0,0.0,0,0.1,0
728,27,1,2.0,0,0.02702702702702703,0
729,41,0,0.0,0,0.02702702702702703,0
730,48,0,0.0,0,0.1,0
732,39,0,2.0,0,0.02702702702702703,0
733,36,0,0.0,0,0.1,0
734,34,0,0.0,1,0.02702702702702703,0
736,79,0,0.0,0,0.02702702702702703,0
737,54,0,0.0,0,0.1,0
738,36,0,0.0,1,0.1,0
739,39,0,2.0,5,0.02702702702702703,0
740,35,0,0.0,0,0.02702702702702703,0
741,38,0,0.0,1,0.02702702702702703,1
743,24,0,0.0,0,0.1,0
744,76,0,0.0,0,0.1,0
746,74,0,0.0,0,0.45121951219512196,0
747,47,0,3.0,0,0.02702702702702703,0
748,57,0,3.0,0,0.02702702702702703,0
749,63,0,1.0,0,0.1,0
751,39,0,1.0,0,0.02702702702702703,0
752,51,0,1.0,0,0.02702702702702703,0
753,60,0,1.0,0,0.1,0
755,63,0,1.0,2,0.1,0
756,55,0,1.0,0,0.02702702702702703,0
757,58,0,0.0,0,0.1,0
758,55,0,2.0,0,0.02702702702702703,0
759,33,0,0.0,1,0.1,1
760,58,0,0.0,0,0.02702702702702703,1
761,55,0,0.0,1,0.02702702702702703,0
762,44,0,0.0,0,0.02702702702702703,0
763,57,0,1.0,0,0.02702702702702703,0
764,65,0,0.0,0,0.02702702702702703,0
765,56,0,2.0,0,0.02702702702702703,0
766,25,0,0.0,0,0.1,0
767,89,0,0.0,1,0.02702702702702703,0
768,32,0,2.0,0,0.1,0
769,48,0,0.0,0,0.1,0
770,38,0,0.0,1,0.1,0
772,59,0,0.0,1,0.02702702702702703,2
773,32,0,1.0,0,0.1,0
774,50,0,0.0,0,0.1,0
775,26,0,0.0,0,0.02702702702702703,0
776,55,0,1.0,0,0.1,0
781,46,0,2.0,0,0.5555555555555556,0
782,59,0,0.0,0,0.1,0
783,29,0,0.0,0,0.02702702702702703,0
784,39,0,0.0,0,0.1,1
785,36,0,0.0,0,0.1,0
